gene_symbol,name,entrez_geneid,chr,chr_band,somatic,germline,tumour_types_somatic,tumour_types_germline,cancer_syndrome,tissue_type,molecular_genetics,mutation_types,translocation_partner,other_germline_mut,other_syndrome,synonyms
CTNNB1,"catenin (cadherin-associated protein), beta 1",1499,3,3p22-p21.3,yes,,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,,"E, M, O",Dom,"H, Mis, T",PLAG1,,,"P35222,CTNNB,ENSG00000168036,1499,CTNNB1"
CYLD,familial cylindromatosis gene,1540,16,16q12-q13,yes,yes,cylindroma,cylindroma,familial cylindromatosis,E,Rec,"Mis, N, F, S",,,,"1540,CYLD1,FLJ20180,EAC,FLJ31664,HSPC057,CDMT,CYLDI,KIAA0849,USPL2,ENSG00000083799,CYLD"
D10S170,"DNA segment on chromosome 10 (unique) 170, H4 gene (PTC1)",8030,10,10q21,yes,,"papillary thyroid, CML",,,E,Dom,T,"RET, PDGFRB",,,
DAXX,death-domain associated protein,1616,6,6p21.3,yes,,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,"Mis, F, N",,,,"MGC126246,BING2,DAP6,DAQB-126H3_2,MGC126245,Q9UER7,ENSG00000206206,1616,DAXX"
DDB2,damage-specific DNA binding protein 2,1643,11,11p12,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,"Mis, N",,,,"DDB2,Q92466,FLJ34321,ENSG00000134574,1643"
DDIT3,DNA-damage-inducible transcript 3,1649,12,12q13.1-q13.2,yes,,liposarcoma,,,M,Dom,T,FUS,,,"DDIT3,CEBPZ,CHOP,P35638,CHOP10,GADD153,MGC4154,_C/EBP zeta_,ENSG00000175197,1649"
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662,11,11q22-q23,yes,,AML*,,,L,Dom,T,NUP98,,,"1662,HRH-J8,Q13206,ENSG00000178105,DDX10"
DDX5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,1655,17,17q21,yes,,prostate,,,E,Dom,T,ETV4,,,"1655,HLR1,HUMP68,G17P1,p68,DKFZp686J01190,P17844,ENSG00000108654,DDX5"
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,1656,11,11q23.3,yes,,B-NHL,,,L,Dom,T,IGH@,,,"1656,P54,FLJ36338,RCK,P26196,HLR2,ENSG00000110367,DDX6"
DEK,DEK oncogene (DNA binding),7913,6,6p23,yes,,AML,,,L,Dom,T,NUP214,,,"7913,D6S231E,P35659,ENSG00000124795,DEK"
DICER1,"dicer 1, ribonuclease type III",23405,14,14q32.13,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma",pleuropulmonary blastoma,familial pleuropulmonary blastoma,"E, M, O",Rec,"Mis F, N",,,,"23405,Dicer,Q9UPY3,K12H4_8-LIKE,HERNA,KIAA0928,ENSG00000100697,DICER1"
DNM2,dynamin 2,1785,19,19p13.2,yes,,ETP ALL,,,L,Rec,"F, N, Splice, Mis, O",,,,"1785,CMTDI1,CMTDIB,DYN2,DYNII,ENSG00000079805,DNM2"
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1788,2,2p23,yes,,AML,,,L,Rec,"Mis, F, N, S",,,,"DNMT3A,Q9Y6K1,M_HsaIIIA,DNMT3A2,1788,ENSG00000119772"
DUX4,"double homeobox, 4",22947,4,4q35,yes,,soft tissue sarcoma,,,M,Dom,T,CIC,,,"P0CJ90,DUX4,P0CJ85,P0CJ86,P0CJ88,P0CJ89"
EBF1,early B-cell factor 1,1879,5,5q34,yes,,lipoma,,,M,Dom,T,HMGA2,,,"1879,COE1,EBF,O/E-1,OLF1,Q9UH73,ENSG00000164330,EBF1"
ECT2L,epithelial cell transforming sequence 2 oncogene-like,345930,6,6q24.1,yes,,ETP ALL,,,L,Rec,"N, Splice, Mis",,,,"345930,C6orf91,ENSG00000203734,dJ509I19_2,dJ509I19_3,Q008S8,C6orf91,LFDH"
EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1956,7,7p12.3-p12.1,yes,yes,"glioma, NSCLC",NSCLC,familial lung cancer,"E, O",Dom,"A, O, Mis",,,,"EGFR,mENA,ERBB,ERBB1,ENSG00000146648,P00533,1956"
EIF4A2,"eukaryotic translation initiation factor 4A, isoform 2",1974,3,3q27.3,yes,,NHL,,,L,Dom,T,BCL6,,,"1974,DDX2B,EIF4A,BM-010,EIF4F,ENSG00000156976,EIF4A2"
ELF4,E74-like factor 4 (ets domain transcription factor),2000,X,Xq26,yes,,AML,,,L,Dom,T,ERG,,,"2000,MEF,Q99607,RP3-510O21_2,ELFR,ENSG00000102034,ELF4"
ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",2005,1,1q32,yes,,prostate,,,E,Dom,T,SLC45A3,,,"2005,SAP1,P28324,ENSG00000158711,ELK4"
ELKS,ELKS protein,23085,12,12p13.3,yes,,papillary thyroid,,,E,Dom,T,RET,,,"ERC1,KIAA108,Q8IUD2,Cast2,KIAA1081,RAB6IP2,MGC12974,ENSG00000082805,23085,ELKS"
ELL,ELL gene (11-19 lysine-rich leukemia gene),8178,19,19p13.1,yes,,AL,,,L,Dom,T,MLL,,,"ELL,P55199,Men,C19orf17,ELL1,ENSG00000105656,8178"
ELN,elastin,2006,7,7q11.23,yes,,B-ALL,,,L,Dom,T,PAX5,yes,"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome","2006,ENSG00000049540,FLJ38671,FLJ43523,SVAS,WBS,WS,ELN"
EML4,echinoderm microtubule associated protein like 4,27436,2,2p21,yes,,NSCLC,,,E,Dom,T,ALK,,,"EML4,ENSG00000143924,27436"
EP300,300 kd E1A-Binding protein gene,2033,22,22q13,yes,,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,,"L, E",Rec,"T,  N, F, Mis, O","MLL, RUNXBP2",,,"2033,ENSG00000100393,p300,RP1-85F18_1,EP300"
EPS15,epidermal growth factor receptor pathway substrate 15 (AF1p),2060,1,1p32,yes,,ALL,,,L,Dom,T,MLL,,,"AF-1P,AF1P,MLLT5,P42566,ENSG00000085832,EPS15,2060"
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2064,17,17q21.1,yes,,"breast, ovarian, other tumour types, NSCLC, gastric",,,E,Dom,"A, Mis, O",,,,"HER-2,c-erb B2,NEU,TKR1,NGL,HER2,HER-2/neu,c-erbB2,ENSG00000141736,P04626,2064,ERBB2"
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",2068,19,19q13.2-q13.3,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,"Mis, N, F, S",,,,"XPD,TTD,MGC126218,MGC126219,P18074,MAG,COFS2,ENSG00000104884,ERCC2,2068,MGC102762,EM9"
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,2,2q21,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,"Mis, S",,,,"2071,RAD25,XPB,BTF2,P19447,TFIIH,GTF2H,ENSG00000163161,ERCC3"
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",2072,16,16p13.3-p13.13,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,"Mis, N, F",,,,"Q92889,XPF,RAD1,ENSG00000175595,2072,ERCC4"
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",2073,13,13q33,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,"Mis, N, F",,,,"2073,XPGC,ERCM2,UVDR,XPG,COFS3,RP11-484I6_5,ENSG00000134899,ERCC5"
ERG,v-ets erythroblastosis virus E26 oncogene like (avian),2078,21,21q22.3,yes,,"Ewing sarcoma, prostate, AML",,,"M, E, L",Dom,T,"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1",,,"ERG,P11308,2078"
ETV1,ets variant gene 1,2115,7,7p22,yes,,"Ewing sarcoma, prostate",,,"M, E",Dom,T,"EWSR1, TMPRSS2, SLC45A3, C15orf21, HNRNPA2B1. ACSL3",,,"ETV1,DKFZp781L0674,MGC120534,MGC104699,MGC120533,ER81,ENSG00000006468,2115"
ETV4,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",2118,17,17q21,yes,,"Ewing sarcoma, prostate carcinoma",,,"M, E",Dom,T,"EWSR1, TMPRSS2, DDX5, KLK2, CANT1",,,"2118,PEA3,PEAS3,E1A-F,E1AF,ENSG00000175832,ETV4"
ETV5,ets variant gene 5,2119,3,3q28,yes,,prostate,,,E,Dom,T,"TMPRSS2, SCL45A3",,,"2119,P41161,ERM,ENSG00000244405,ETV5"
ETV6,ets variant gene 6 (TEL oncogene),2120,12,12p13,yes,,"congenital fibrosarcoma, multiple leukaemia and lymphoma, secretory breast, MDS, ALL",,,"L, E, M",Dom,T,"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, FACL6, CHIC2, ARNT, JAK2, EVI1, CDX2, STL, HLXB9, MDS2, PER1, SYK, TTL, FGFR3, PAX5",,,"P41212,TEL/ABL,TEL,ETV6,ENSG00000139083,2120"
EVI1,ecotropic viral integration site 1,2122,3,3q26,yes,,"AML, CML",,,L,Dom,T,"RUNX1, ETV6, PRDM16, RPN1",,,"EVI1,MDS1-EVI1,PRDM3,Q03112,ENSG00000085276,2122,EVI1"
EWSR1,Ewing sarcoma breakpoint region 1 (EWS),2130,22,22q12,yes,,"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma",,,"L, M",Dom,T,"FLI1, ERG, ZNF278, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1",,,"2130,EWS,ENSG00000182944,EWSR1"
EXT1,multiple exostoses type 1 gene,2131,8,8q24.11-q24.13,,yes,,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,"Mis, N, F, S",,,,"2131,ttv,Q16394,EXT,ENSG00000182197,EXT1"
EXT2,multiple exostoses type 2 gene,2132,11,11p12-p11,,yes,,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,"Mis, N, F, S",,,,"ENSG00000151348,Q93063,SOTV,2132,EXT2"
EZH2,enhancer of zeste homolog 2,2146,7,7q35-q36,yes,,DLBCL,,,L,Rec?,Mis,,,,"EZH1,ENX-1,MGC9169,Q15910,ENSG00000106462,EZH2,2146"
EZR,ezrin,7430,6,6q25.3,yes,,NSCLC,,,E,Dom,T,ROS1,,,"7430,ENSG00000092820,CVL,DKFZp762H157,MGC1584,P15311,CVIL,FLJ26216,EZR"
FACL6,"fatty-acid-coenzyme A ligase, long-chain 6",23305,5,5q31,yes,,"AML, AEL",,,L,Dom,T,ETV6,,,"23305,FACL6,LACS2,ACS2,LACS5,KIAA0837,ENSG00000164398,ACSL6"
FAM46C,"family with sequence similarity 46, member C",54855,1,1p12,yes,,MM,,,L,Rec,"Mis, F, O",,,,"Q5VWP2,FAM46C,54855,ENSG00000183508,FLJ20202"
FANCA,"Fanconi anemia, complementation group A",2175,16,16q24.3,,yes,,"AML, leukaemia",Fanconi anaemia A,L,Rec,"D, Mis, N, F, S",,,,"FA1,MGC75158,FANCH,FAH,FA,FA-H,ENSG00000187741,2175,FANCA,FAA,FACA"
FANCC,"Fanconi anemia, complementation group C",2176,9,9q22.3,,yes,,"AML, leukaemia",Fanconi anaemia C,L,Rec,"D, Mis, N, F, S",,,,"FAC,ENSG00000158169,FLJ14675,FACC,FA3,RP11-80I15_2,2176,FANCC"
FANCD2,"Fanconi anemia, complementation group D2",2177,3,3p26,,yes,,"AML, leukaemia",Fanconi anaemia D2,L,Rec,"D, Mis, N, F",,,,"FACD,FANCD,DKFZp762A223,FAD2,FA4,FLJ23826,ENSG00000144554,FANCD2,2177,FAD,FA-D2"
FANCE,"Fanconi anemia, complementation group E",2178,6,6p21-p22,,yes,,"AML, leukaemia",Fanconi anaemia E,L,Rec,"N, F, S",,,,"FANCE,FACE,FAE,ENSG00000112039,2178"
FANCF,"Fanconi anemia, complementation group F",2188,11,11p15,,yes,,"AML, leukaemia",Fanconi anaemia F,L,Rec,"N, F",,,,"FANCF,FAF,MGC126856,Q9NPI8,ENSG00000183161,2188"
FANCG,"Fanconi anemia, complementation group G",2189,9,9p13,,yes,,"AML, leukaemia",Fanconi anaemia G,L,Rec,"Mis, N, F, S",,,,"FANCG,ENSG00000221829,FAG,XRCC9,O15287,2189"
FAS,Fas cell surface death receptor,355,10,10q24.1,yes,,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,Mis,,yes,Autoimmune lymphoproliferative syndrome,"FAS,FAS1,APT1,TNFRSF6,ALPS1A,CD95,P25445,APO-1,FASTM,ENSG00000026103,355"
FBXO11,F-box protein 11,80204,2,2p16.3,yes,,DLBCL,,,L,Rec,"Mis, F, D",,,,"FBX11,MGC44383,FLJ12673,PRMT9,UG063H01,Q86XK2,ENSG00000138081,80204,FBXO11,VIT1"
FBXW7,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",55294,4,4q31.3,yes,,"colorectal, endometrial, T-ALL",,,"E, L",Rec,"Mis, N, D, F",,,,"DKFZp686F23254,AGO,FBX30,FBW7,SEL10,FBXW6,CDC4,SEL-10,FLJ11071,ENSG00000109670,55294,FBXW7"
FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",2213,1,1q23,yes,,ALL,,,L,Dom,T,?,,,"CD32,FCGR2,IGFR2,CD32B,ENSG00000072694,FCGR2B,2213,P31994,FCG2"
FEV,FEV protein - (HSRNAFEV),54738,2,2q36,yes,,Ewing sarcoma,,,M,Dom,T,"EWSR1,  FUS",,,"54738,Pet-1,HSRNAFEV,PET-1,ENSG00000163497,FEV"
FGFR1,fibroblast growth factor receptor 1,2260,8,8p11.2-p11.1,yes,,"MPN, NHL",,,L,Dom,T,"BCR, FOP, ZNF198, CEP1",yes,"Pfeiffer syndrome, Kallman syndrome","2260,CEK,H4,N-SAM,BFGFR,H2,KAL2,H5,FGFBR,FLG,HBGFR,H3,CD331,FLT2,P11362,ENSG00000077782,FGFR1"
FGFR1OP,FGFR1 oncogene partner (FOP),11116,6,6q27,yes,,"MPN, NHL",,,L,Dom,T,FGFR1,,,"11116,FOP,ENSG00000213066,FGFR1OP"
FGFR2,fibroblast growth factor receptor 2,2263,10,10q26,yes,,"gastric, NSCLC, endometrial",,,E,Dom,Mis,,yes,"Crouzon, Pfeiffer, and Apert syndromes","2263,BFR-1,KGFR,CFD1,K-SAM,CEK3,ECT1,TK25,JWS,CD332,BEK,TK14,ENSG00000066468,FGFR2"
FGFR3,fibroblast growth factor receptor 3,2261,4,4p16.3,yes,,"bladder, MM, T-cell lymphoma",,,"L, E",Dom,"Mis, T","IGH@, ETV6",yes,"Hypochondroplasia, Thanatophoric dysplasia","FGFR3,CD333,CEK2,HSFGFR3EX,ACH,JTK4,P22607,ENSG00000068078,2261"
FH,fumarate hydratase,2271,1,1q42.1,,yes,,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,"Mis, N, F",,,,"2271,HLRCC,P07954,LRCC,MCL,MCUL1,ENSG00000091483,FH"
FHIT,fragile histidine triad gene,2272,3,3p14.2,yes,,pleomorphic salivary gland adenoma,,,E,Dom,T,HMGA2,,,"P49789,FHIT,2272,ENSG00000189283,AP3Aase,FRA3B"
FIP1L1,FIP1 like 1 (S. cerevisiae),81608,4,4q12,yes,,idiopathic hypereosinophilic syndrome,,,L,Dom,T,PDGFRA,,,"81608,DKFZp586K0717,Q6UN15,ENSG00000145216,FIP1L1"
FLI1,Friend leukemia virus integration 1,2313,11,11q24,yes,,Ewing sarcoma,,,M,Dom,T,EWSR1,,,"FLI1,SIC-1,Q01543,EWSR2,ENSG00000151702,2313"
FLJ27352,"BX648577, FLJ27352 hypothetical LOC145788",145788,15,15q21.3,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,T,CIITA,,,
FLT3,fms-related tyrosine kinase 3,2322,13,13q12,yes,,"AML, ALL",,,L,Dom,"Mis, O",,,,"2322,STK1,RP11-153M24_3,CD135,FLK2,P36888,ENSG00000122025,FLT3"
FNBP1,formin binding protein 1 (FBP17),23048,9,9q23,yes,,AML,,,L,Dom,T,MLL,,,"SH2D3B,NSP2,KIAA0554,ENSG00000137936,BCAR3,8412"
FOXA1,forkhead box A1,3169,14,q12-q13,yes,,"breast, prostate",,,E,Dom,"Mis, F",,,,"3169,TCF3A,MGC33105,HNF3A,P55317,ENSG00000129514,FOXA1"
FOXL2,forkhead box L2,668,3,3q23,yes,,granulosa-cell tumour of the ovary,,,O,Dom,Mis,,yes,"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III","668,BPES,BPES1,PINTO,POF3,PFRK,P58012,ENSG00000183770,FOXL2"
FOXO1A,forkhead box O1A (FKHR),2308,13,13q14.1,yes,,alveolar rhabdomyosarcoma,,,M,Dom,T,PAX3,,,"Q12778,FOXO1,FKHR,FKH1,ENSG00000150907,FOXO1A,FOXO1A,2308"
FOXO3A,forkhead box O3A,2309,6,6q21,yes,,AL,,,L,Dom,T,MLL,,,"FOXO2,DKFZp781A0677,FKHRL1P2,AF6q21,O43524,FOXO3A,MGC12739,MGC31925,ENSG00000118689,FOXO3,2309,FKHRL1"
FOXP1,forkhead box P1,27086,3,3p14.1,yes,,ALL,,,L,Dom,T,PAX5,,,"27086,MGC12942,MGC88572,HSPC215,12CC4,QRF1,FLJ23741,MGC99551,hFKH1B,ENSG00000114861,FOXP1"
FSTL3,follistatin-like 3 (secreted glycoprotein),10272,19,19p13,yes,,B-CLL,,,L,Dom,T,CCND1,,,"10272,FLRG,O95633,ENSG00000070404,FSTL3"
FUBP1,far upstream element (FUSE) binding protein 1,8880,1,1p13.1,yes,,oligodendroglioma,,,O,Rec,"F, N",,,,"FUBP,FBP,ENSG00000162613,8880,FUBP1"
FUS,"fusion, derived from t(12;16) malignant liposarcoma",2521,16,16p11.2,yes,,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,,"M, L",Dom,T,"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1",,,"2521,TLS,P35637,FUS1,CHOP,FUS-CHOP,TLS/CHOP,ENSG00000089280,FUS"
FVT1,follicular lymphoma variant translocation 1,2531,18,18q21.3,yes,,B-NHL,,,L,Dom,T,IGK@,,,"2531,Q06136,FVT1,ENSG00000119537,FVT1"
GAS7,growth arrest-specific 7,8522,17,17p,yes,,AML*,,,L,Dom,T,MLL,,,"8522,KIAA0394,O60861,MLL/GAS7,MGC1348,ENSG00000007237,GAS7"
GATA1,GATA binding protein 1 (globin transcription factor 1),2623,X,Xp11.23,yes,,megakaryoblastic leukaemia of Downs syndrome,,,L,Dom,"Mis, F",,,,"P15976,ERYF1,GF1,NFE1,ENSG00000102145,GATA1,2623"
GATA2,GATA binding protein 2,2624,3,3q21.3,yes,,AML (CML blast transformation),,,L,Dom,Mis,,,,"2624,NFE1B,P23769,MGC2306,ENSG00000179348,GATA2"
GATA3,GATA binding protein 3,2625,10,10p15,yes,,breast,,,E,Rec,"F, N, S",,yes,"HDR syndrome (HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE)","GATA3,HDR,MGC2346,MGC5199,MGC5445,ENSG00000107485,2625"
GMPS,guanine monphosphate synthetase,8833,3,3q24,yes,,AML,,,L,Dom,T,MLL,,,"8833,ENSG00000163655,GMPS"
GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",2767,19,19p13.3,yes,,uveal melanoma,,,E,Dom,Mis,,,,"GNA11,GNA-11,ENSG00000088256,2767"
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",2776,9,9q21,yes,,uveal melanoma,,,E,Dom,Mis,,,,"2776,P50148,GAQ,RP11-494N1_1,G-ALPHA-q,ENSG00000156052,GNAQ"
GNAS,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1",2778,20,20q13.2,yes,,pituitary adenoma,,,E,Dom,Mis,,yes,"McCune-Albright syndrome; pseudohypoparathyroidism, type IA","2778,RP4-543J19_4,PHP1B,XLalphas,AHO,GSA,PHP1A,XL,MGC33735,XL2,dJ806M20_3_3,Gnas,GPSA,SCG6,dJ309F20_1_1,C20orf45,GNAS1,GNASXL,POH,GSP,NESP,NESP55,ENSG00000087460,GNAS"
GOLGA5,"golgi autoantigen, golgin subfamily a, 5  (PTC5)",9950,14,14q,yes,,papillary thyroid,,,E,Dom,T,RET,,,"9950,ret-II,Q8TBA6,golgin-84,rfg5,ENSG00000066455,GOLGA5"
GOPC,golgi associated PDZ and coiled-coil motif containing,57120,6,6q21,yes,,glioblastoma,,,O,Dom,O,ROS1,,,"57120,FIG,dJ94G16_2 PIST,CAL,Q9HD26,GOPC1,ENSG00000047932,GOPC"
GPC3,glypican 3,2719,X,Xq26.1,,yes,,Wilms tumour,Simpson-Golabi-Behmel syndrome,O,Rec/X,"T, D, Mis, N, F, S",,,,"2719,OCI-5,SGBS1,AC002420_1,P51654,SDYS,DGSX,SGB,SGBS,ENSG00000147257,GPC3"
GPHN,gephyrin (GPH),10243,14,14q24,yes,,AL,,,L,Dom,T,MLL,,,"10243,ENSG00000171723,GPHN"
GRAF,GTPase regulator associated with focal adhesion kinase pp125(FAK),23092,5,5q31,yes,,"AML, MDS",,,L,Dom,"T, F, S",MLL,,,"OPHN1L1,KIAA0621,FLJ42530,GRAF,OPHN1L,ENSG00000145819,23092,ARHGAP26"
H3F3A,"H3 histone, family 3A",3020,1,1q42.12,yes,,glioma,,,O,Dom,Mis,,,,"ENSG00000163041,H3F3A,3020,H3_3A,H3F3,MGC87782,MGC87783,H3_3B,H3F3A,LOC347376,P84243"
H3F3B,"H3 histone, family 3B (H3.3B)",3021,17,q25.1,yes,,chondroblastoma,,,M,Dom,Mis,,,,"3021,H3_3A,H3F3,MGC87782,MGC87783,H3_3B,H3F3A,LOC347376,P84243,ENSG00000132475,H3F3B"
HCMOGT-1,sperm antigen HCMOGT-1,92521,17,17p11.2,yes,,JMML,,,L,Dom,T,PDGFRB,,,"SPECC1,FLJ36955,HCMOGT-1,NSP,Q5M775,ENSG00000128487,CYTSB,SPECC1,92521"
HEAB,ATP_GTP binding protein,10978,11,11q12,yes,,AML,,,L,Dom,T,MLL,,,"10978,ENSG00000172409,HEAB,Q92989,hClp1,CLP1"
HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",9709,16,16q12.2-q13,yes,,prostate,,,E,Dom,T,ERG,,,"9709,ENSG00000051108,HERP,KIAA0025,Mif1,SUP,Q15011,HERPUD1"
HEY1,hairy/enhancer-of-split related with YRPW motif 1,23462,8,8q21,yes,,mesenchymal chondrosarcoma,,,M,Dom,T,NCOA2,,,"HESR1,HERP2,OAF1,CHF-2,HRT-1,MGC1274,HESR-1,CHF2,ENSG00000164683,HEY1,23462"
HIP1,huntingtin interacting protein 1,3092,7,7q11.23,yes,,CMML,,,L,Dom,T,PDGFRB,,,"3092,ILWEQ,ENSG00000127946,HIP1"
HIST1H3B,"histone cluster 1, H3b",3020,6,6p22.1,yes,,glioma,,,O,Dom,Mis,,,,"H3_1,HIST1H3B,8358,ENSG00000124693,H3/A,H3FA,H3/l,H3FL,H3/c,H3FC,H3/b,H3FB,H3/d,H3FD,H3/i,H3FI,H3/h,H3FH,H3/k,H3F1K,H3FK,H3_f,H3/f,H3FF,H3/j,H3FJ,P68431"
HIST1H4I,"histone 1, H4i (H4FM)",8294,6,6p21.3,yes,,NHL,,,L,Dom,T,BCL6,,,"8294,HIST4H4,MGC24116,P62805,HIST1H4I"
HLF,hepatic leukemia factor,3131,17,17q22,yes,,ALL,,,L,Dom,T,TCF3,,,"3131,Q16534,ENSG00000108924,HLF"
HLXB9,homeo box HB9,3110,7,7q36,yes,,AML,,,L,Dom,T,ETV6,yes,CURRARINO SYNDROME,"3110,HB9,HLXB9,P50219,ENSG00000130675,HLXB9"
HMGA1,high mobility group AT-hook 1,3159,6,6p21,yes,,"microfollicular thyroid adenoma, various benign mesenchymal tumours",,,"E, M",Dom,T,?,,,"HMGA1,MGC4242,HMG-R,MGC4854,P17096,HMGIY,MGC12816,ENSG00000137309,3159"
HMGA2,high mobility group AT-hook 2 (HMGIC),8091,12,12q15,yes,,"lipoma, leiomyoma, pleomorphic salivary gland adenoma",,,M,Dom,T,"LHFP, RAD51L1, LPP, COX6C, CMKOR1, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT",,,"8091,HMGI-C,BABL,HMGIC,LIPO,ENSG00000149948,HMGA2"
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181,7,7p15,yes,,prostate,,,E,Dom,T,ETV1,,,"HNRNPA2B1,ENSG00000122566,3181,HNRNPA2,HNRNPB1,HNRPB1,RNPA2,SNRPB1,HNRPA2"
HOOK3,hook homolog 3,84376,8,8p11.21,yes,,papillary thyroid,,,E,Dom,T,RET,,,"84376,ENSG00000168172,HK3,Q86VS8,HOOK3"
HOXA11,homeo box A11,3207,7,7p15-p14.2,yes,,CML,,,L,Dom,T,NUP98,,,"HOXA11,HOX1,P31270,HOX1I,ENSG00000005073,3207"
HOXA13,homeo box A13,3209,7,7p15-p14.2,yes,,AML,,,L,Dom,T,NUP98,,,"HOX1,P31271,HOX1J,ENSG00000106031,3209,HOXA13"
HOXA9,homeo box A9,3205,7,7p15-p14.2,yes,,AML*,,,L,Dom,T,"NUP98, MSI2",,,"HOXA9,HOX1,P31269,HOX1G,ENSG00000078399,3205"
HOXC11,homeo box C11,3227,12,12q13.3,yes,,AML,,,L,Dom,T,NUP98,,,"3227,HOX3H,O43248,ENSG00000123388,HOXC11"
HOXC13,homeo box C13,3229,12,12q13.3,yes,,AML,,,L,Dom,T,NUP98,,,"3229,HOX3G,HOX3,P31276,ENSG00000123364,HOXC13"
HOXD11,homeo box D11,3237,2,2q31-q32,yes,,AML,,,L,Dom,T,NUP98,,,"3237,ENSG00000128713,HOXD11"
HOXD13,homeo box D13,3239,2,2q31-q32,yes,,AML*,,,L,Dom,T,NUP98,,,"3239,SPD,HOX4I,P35453,HOXD13"
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,3265,11,11p15.5,yes,yes,"infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder",Costello syndrome,"E, L, M",Dom,Mis,,,,"HRAS,K-ras,N-ras,P01112,c-bas/has,RASH1,HRAS1,ENSG00000174775,3265"
HSPCA,"heat shock 90kDa protein 1, alpha",3320,14,14q32.31,yes,,NHL,,,L,Dom,T,BCL6,,,"3320,FLJ31884,HSP86,Hsp89,Hsp90,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,LAP2,P07900,ENSG00000080824,HSP90AA1"
HSPCB,"heat shock 90kDa protein 1, beta",3326,6,6p12,yes,,NHL,,,L,Dom,T,BCL6,,,"3326,HSPCB,FLJ26984,HSPC2,D6S182,P08238,HSP90-BETA,HSP90B,ENSG00000096384,HSP90AB1"
IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",3417,2,2q33.3,yes,,glioblastoma,,,O,Dom,Mis,,,,"IDH1,IDP,O75874,PICD,IDH,ENSG00000138413,3417"
